a_name,a_description,a_generation
Stench,"By releasing a stench when attacking, the Pokémon may cause the target to flinch.",3
Drizzle,The Pokémon makes it rain when it enters a battle.,3
Speed Boost,The Pokémon's Speed stat is boosted every turn.,3
Battle Armor,Hard armor protects the Pokémon from critical hits.,3
Sturdy,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.,3
Damp,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.",3
Limber,The Pokémon's limber body prevents it from being paralyzed.,3
Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,3
Static,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.,3
Volt Absorb,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage.",3
Water Absorb,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage.",3
Oblivious,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts or being affected by Intimidate..",3
Cloud Nine,Eliminates the effects of weather.,3
Compound Eyes,The Pokémon's compound eyes boost its accuracy.,3
Insomnia,The Pokémon's insomnia prevents it from falling asleep.,3
Color Change,The Pokémon's type becomes the type of the move used on it.,3
Immunity,The Pokémon's immune system prevents it from being poisoned.,3
Flash Fire,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves.",3
Shield Dust,Protective dust shields the Pokémon from the additional effects of moves.,3
Own Tempo,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate..",3
Suction Cups,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.,3
Intimidate,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.",3
Shadow Tag,The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.,3
Rough Skin,The Pokémon's rough skin damages attackers that make direct contact with it.,3
Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.,3
Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",3
Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker.",3
Synchronize,"If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition.",3
